ts_station,sensor_id,error_type,error_detail
2015-01-01 15:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-01 16:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-01 17:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-01 18:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-01 19:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-01 20:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-01 21:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-01 22:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-01 23:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 00:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 01:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 02:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 03:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 04:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 05:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 06:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 07:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 08:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 09:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 10:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 11:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 12:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 13:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 14:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 15:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 16:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 17:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 18:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 19:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 20:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 21:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 22:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-02 23:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-03 00:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-03 01:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-03 02:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-03 03:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-03 04:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-03 05:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-03 06:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-03 07:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-03 08:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-03 09:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-03 10:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-03 11:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-03 12:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-03 13:00:00,E32_VADOMOJON,FLATLINE,flatline_47h_value=356.7200m
2015-01-03 15:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-03 16:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-03 17:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-03 18:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-03 19:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-03 20:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-03 21:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-03 22:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-03 23:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 00:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 01:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 02:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 03:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 04:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 05:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 06:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 07:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 08:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 09:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 10:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 11:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 12:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 13:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 14:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 15:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 16:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 17:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 18:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 19:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 20:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 21:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 22:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-04 23:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-05 00:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-05 01:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-05 02:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
2015-01-05 03:00:00,E32_VADOMOJON,FLATLINE,flatline_128h_value=356.7200m
